x,delta_T,initial
-100.0,0.006837156083861047,0.0
-97.997997997998,0.0077234639773965785,0.0
-95.995995995996,0.008715444405747307,0.0
-93.993993993994,0.009825916022631064,0.0
-91.991991991992,0.01106949655143712,0.0
-89.98998998999,0.012462939161458375,0.0
-87.98798798798799,0.014025554519636649,0.0
-85.98598598598599,0.015779746455484616,0.0
-83.98398398398399,0.017751700383722094,0.0
-81.98198198198199,0.019972280280649055,0.0
-79.97997997997999,0.022478215276118405,0.0
-77.97797797797797,0.025313696166169797,0.0
-75.97597597597597,0.028532564722432745,0.0
-73.97397397397397,0.03220138143627174,0.0
-71.97197197197197,0.03640383188756602,0.0
-69.96996996996997,0.04124724013889154,0.0
-67.96796796796797,0.046872526870518336,0.0
-65.96596596596596,0.053470059026133006,0.0
-63.96396396396396,0.0613061405361564,0.0
-61.96196196196196,0.07077006366005978,0.0
-59.95995995995996,0.08246444670040384,0.0
-57.95795795795796,0.09739765010720773,0.0
-55.95595595595595,0.11745827991355438,0.0
-53.95395395395395,0.14688313080801357,0.0
-51.95195195195195,0.19917710653183981,0.0
-49.949949949949946,0.3891568049780957,1.0
-47.947947947947945,0.5790935612909687,1.0
-45.945945945945944,0.6313384195589744,1.0
-43.94394394394394,0.6607071664684466,1.0
-41.94194194194194,0.6807037981695656,1.0
-39.93993993993993,0.6955640950144536,1.0
-37.93793793793793,0.7071755305404641,1.0
-35.93593593593593,0.7165452019572516,1.0
-33.93393393393393,0.724274319688646,1.0
-31.931931931931928,0.7307506081157407,1.0
-29.929929929929926,0.7362386262760641,1.0
-27.927927927927925,0.7409268003186581,1.0
-25.925925925925924,0.7449538932092007,1.0
-23.923923923923923,0.7484248309190727,1.0
-21.92192192192192,0.751420634297781,1.0
-19.91991991991992,0.7540049029571042,1.0
-17.91791791791792,0.7562281883490308,1.0
-15.915915915915917,0.7581310237906019,1.0
-13.913913913913902,0.7597460708348162,1.0
-11.9119119119119,0.7610996666547875,1.0
-9.9099099099099,0.762212954118573,1.0
-7.907907907907898,0.763102713370594,1.0
-5.905905905905897,0.7637819741198709,1.0
-3.9039039039038954,0.7642604620878256,1.0
-1.9019019019018941,0.7645449157892988,1.0
0.10010010010010717,0.7646392977884672,1.0
2.1021021021021085,0.7645449157892988,1.0
4.10410410410411,0.7642604620878256,1.0
6.106106106106111,0.7637819741198709,1.0
8.108108108108112,0.763102713370594,1.0
10.110110110110114,0.762212954118573,1.0
12.112112112112115,0.7610996666547875,1.0
14.114114114114116,0.7597460708348162,1.0
16.116116116116117,0.7581310237906019,1.0
18.11811811811812,0.7562281883490308,1.0
20.120120120120134,0.7540049029571042,1.0
22.122122122122136,0.751420634297781,1.0
24.124124124124137,0.7484248309190727,1.0
26.126126126126138,0.7449538932092007,1.0
28.12812812812814,0.7409268003186581,1.0
30.13013013013014,0.736238626276064,1.0
32.13213213213214,0.7307506081157407,1.0
34.13413413413414,0.7242743196886459,1.0
36.136136136136145,0.7165452019572516,1.0
38.138138138138146,0.707175530540464,1.0
40.14014014014015,0.6955640950144536,1.0
42.14214214214215,0.6807037981695655,1.0
44.14414414414415,0.6607071664684465,1.0
46.14614614614615,0.6313384195589743,1.0
48.14814814814815,0.5790935612909681,1.0
50.150150150150154,0.3891568049780931,0.0
52.152152152152155,0.1991771065318394,0.0
54.154154154154156,0.14688313080801332,0.0
56.15615615615616,0.11745827991355426,0.0
58.15815815815816,0.09739765010720763,0.0
60.16016016016016,0.08246444670040377,0.0
62.16216216216216,0.07077006366005972,0.0
64.16416416416416,0.06130614053615637,0.0
66.16616616616616,0.053470059026132985,0.0
68.16816816816817,0.04687252687051831,0.0
70.17017017017017,0.041247240138891514,0.0
72.1721721721722,0.036403831887566004,0.0
74.1741741741742,0.03220138143627173,0.0
76.1761761761762,0.028532564722432725,0.0
78.1781781781782,0.02531369616616977,0.0
80.1801801801802,0.02247821527611839,0.0
82.1821821821822,0.019972280280649034,0.0
84.1841841841842,0.01775170038372208,0.0
86.1861861861862,0.0157797464554846,0.0
88.1881881881882,0.01402555451963664,0.0
90.19019019019021,0.012462939161458367,0.0
92.19219219219221,0.011069496551437115,0.0
94.19419419419421,0.009825916022631057,0.0
96.19619619619621,0.0087154444057473,0.0
98.19819819819821,0.0077234639773965715,0.0
