x,initial,t_0.05,t_5.0,t_20.0
-100.0,0.0,0.0,9.68599754332001e-57,1.2468625257370555e-15
-97.997997997998,0.0,0.0,1.8609815539041067e-52,1.510925204911365e-14
-95.995995995996,0.0,0.0,2.3985796435682036e-48,1.658948940861057e-13
-93.993993993994,0.0,0.0,2.0741684733800197e-44,1.6506078076522074e-12
-91.991991991992,0.0,0.0,1.2036042980486096e-40,1.4884609813800982e-11
-89.98998998999,0.0,0.0,4.687652339246503e-37,1.2166995533142528e-10
-87.98798798798799,0.0,0.0,1.2256127758466178e-33,9.016963841807474e-10
-85.98598598598599,0.0,0.0,2.151722245399449e-30,6.059793575489305e-09
-83.98398398398399,0.0,0.0,2.5373518296454713e-27,3.693838552092071e-08
-81.98198198198199,0.0,0.0,2.0104111282712787e-24,2.0428552805390742e-07
-79.97997997997999,0.0,0.0,1.0707145898399201e-21,1.0253492871401606e-06
-77.97797797797797,0.0,0.0,3.8349143184088516e-19,4.672367932741351e-06
-75.97597597597597,0.0,0.0,9.242332519775853e-17,1.933818146140132e-05
-73.97397397397397,0.0,0.0,1.499881008432198e-14,7.27313574511593e-05
-71.97197197197197,0.0,0.0,1.6404292849097175e-12,0.0002487184801510636
-69.96996996996997,0.0,0.0,1.2104691643961802e-10,0.0007738830784291436
-67.96796796796797,0.0,0.0,6.0345084819257335e-09,0.0021927217751063163
-65.96596596596596,0.0,0.0,2.0360678927845637e-07,0.0056632611694186425
-63.96396396396396,0.0,0.0,4.6603567721618415e-06,0.013349083743385014
-61.96196196196196,0.0,6.923e-320,7.25919146766045e-05,0.028759554341182447
-59.95995995995996,0.0,2.7975950781058446e-223,0.0007728290408039325,0.056734937991857255
-57.95795795795796,0.0,4.433035666851148e-144,0.0056581387998744185,0.1027153555615007
-55.95595595595595,0.0,2.7545093961639476e-82,0.02874392500993607,0.17113932289247197
-53.95395395395395,0.0,6.712817591599804e-38,0.10268696717237703,0.26332925600599055
-51.95195195195195,0.0,6.49076941680498e-11,0.2633033568428727,0.37578968390247236
-49.949949949949946,1.0,0.5000000000000092,0.500000000000001,0.5000000000000004
