x,initial,t_0.05,t_5.0,t_20.0
-100.0,0.0,0.0,1.3009935033708377e-30,5.314556634856181e-09
-97.997997997998,0.0,0.0,8.230685467433863e-29,1.5331143271393128e-08
-95.995995995996,0.0,0.0,4.5605805915941655e-27,4.281301459904477e-08
-93.993993993994,0.0,0.0,2.2133870864218802e-25,1.1574287494365125e-07
-91.991991991992,0.0,0.0,9.409804145471152e-24,3.0293911174500946e-07
-89.98998998999,0.0,0.0,3.5044999708634695e-22,7.676914850665963e-07
-87.98798798798799,0.0,0.0,1.143494274597586e-20,1.8837295406782198e-06
-85.98598598598599,0.0,0.0,3.2692569164794793e-19,4.47593480168647e-06
-83.98398398398399,0.0,0.0,8.190700448639839e-18,1.0299552743275029e-05
-81.98198198198199,0.0,0.0,1.7984804911275814e-16,2.295418620160004e-05
-79.97997997997999,0.0,0.0,3.4615115553989296e-15,4.95516099425599e-05
-77.97797797797797,0.0,0.0,5.840794730444106e-14,0.00010362243261838795
-75.97597597597597,0.0,0.0,8.64180396527675e-13,0.00020994363443399623
-73.97397397397397,0.0,0.0,1.121384554405571e-11,0.00041215723374554003
-71.97197197197197,0.0,0.0,1.2765184150735766e-10,0.0007841500117989599
-69.96996996996997,0.0,0.0,1.2750948410085921e-09,0.001446050046369424
-67.96796796796797,0.0,0.0,1.1179964489315043e-08,0.002585208457099428
-65.96596596596596,0.0,0.0,8.607632079718232e-08,0.0044815201882374535
-63.96396396396396,0.0,0.0,5.821882057044752e-07,0.007534818961053701
-61.96196196196196,0.0,0.0,3.4610309919740907e-06,0.012289954477417346
-59.95995995995996,0.0,0.0,1.8095856745652977e-05,0.019452882319408848
-57.95795795795796,0.0,2.461362565275e-312,8.327367902454854e-05,0.02988932256867778
-55.95595595595595,0.0,3.4895120101895873e-255,0.0003375849543964608,0.04459714551284875
-53.95395395395395,0.0,7.801269578820582e-204,0.0012069356310107574,0.0646454951741278
-51.95195195195195,0.0,2.750338840170113e-158,0.0038106742137140903,0.09107829321566087
-49.949949949949946,0.0,1.529188771852056e-118,0.01064320104925316,0.12478698971267023
-47.947947947947945,0.0,1.3412756695739817e-84,0.026352420672172763,0.16636609348887396
-45.945945945945944,0.0,1.857996694180889e-56,0.0579987946551198,0.21597305896879543
-43.94394394394394,0.0,4.082335324546812e-34,0.11385805459895305,0.2732189863141092
-41.94194194194194,0.0,1.4466808007354818e-17,0.20024995805147455,0.33711605629006386
-39.93993993993993,0.0,8.862326300454665e-07,0.31732417156511317,0.40610058836922575
